date,market_ret,breadth,flag_rate,market_anomaly_flag
1986-08-15,0.0040984487365498,1.0,0.0,0
1986-08-18,-0.0122443956205243,0.0,0.0,0
1986-08-19,0.0,0.0,0.0,0
1986-08-20,-0.0082647460570947,0.0,0.0,0
1986-08-21,0.0,0.0,0.0,0
1986-08-22,-0.0166664622882872,0.0,0.0,0
1986-08-25,0.0,0.0,0.0,0
1986-08-26,-0.0084748673786131,0.0,0.0,0
1986-08-27,0.0,0.0,0.0,0
1986-08-28,0.0,0.0,0.0,0
1986-08-29,-0.0256412279305641,0.0,0.0,0
1986-09-02,-0.0263157091839919,0.0,0.0,0
1986-09-03,-0.0270266410437395,0.0,0.0,0
1986-09-04,0.0833330391523883,1.0,0.0,0
1986-09-05,0.0427348081964475,1.0,0.0,0
1986-09-08,-0.0081961299117352,0.0,0.0,0
1986-09-09,0.0165283865364971,1.0,0.0,0
1986-09-10,-0.0162596409066474,0.0,0.0,0
1986-09-11,-0.0413222930344729,0.0,0.0,0
1986-09-12,-0.0258623781509603,0.0,0.0,0
1986-09-15,0.0176990165647707,1.0,0.0,0
1986-09-16,0.0,0.0,0.0,0
1986-09-17,0.0260872792000763,1.0,0.0,0
1986-09-18,0.0084741871672,1.0,0.0,0
1986-09-19,0.0,0.0,0.0,0
1986-09-22,-0.0084029787524895,0.0,0.0,0
1986-09-23,0.0169489411772441,1.0,0.0,0
1986-09-24,-0.0124998188464368,0.0,0.0,0
1986-09-25,-0.0210969249493372,0.0,0.0,0
1986-09-26,0.0,0.0,0.0,0
1986-09-29,-0.0258623781509603,0.0,0.0,0
1986-09-30,0.0,0.0,0.0,0
1986-10-01,-0.0088499818219992,0.0,0.0,0
1986-10-02,0.0,0.0,0.0,0
1986-10-03,0.0089290033392399,1.0,0.0,0
1986-10-06,0.0796456929263709,1.0,0.0,0
1986-10-07,0.0204921340311268,1.0,0.0,0
1986-10-08,0.0281125076235602,1.0,0.0,0
1986-10-09,0.031250032659895,1.0,0.0,0
1986-10-10,0.0454542874863692,1.0,0.0,0
1986-10-13,-0.0434780248456935,0.0,0.0,0
1986-10-14,0.0151515305067637,1.0,0.0,0
1986-10-15,0.044775664943732,1.0,0.0,0
1986-10-16,0.0,0.0,0.0,0
1986-10-17,0.0285717561836293,1.0,0.0,0
1986-10-20,0.0069439412401002,1.0,0.0,0
1986-10-21,0.0413800229631722,1.0,0.0,0
1986-10-22,0.0,0.0,0.0,0
1986-10-23,0.0,0.0,0.0,0
1986-10-24,-0.0066225670130367,0.0,0.0,0
1986-10-27,0.0333333214422286,1.0,0.0,0
1986-10-28,0.022580430230509,1.0,0.0,0
1986-10-29,-0.0283910114373782,0.0,0.0,0
1986-10-30,0.0194803226199586,1.0,0.0,0
1986-10-31,-0.0127386136211191,0.0,0.0,0
1986-11-03,0.0193547284602098,1.0,0.0,0
1986-11-04,0.0379741326684999,1.0,0.0,0
1986-11-05,0.0609760355123698,1.0,0.0,0
1986-11-06,0.0229885340256215,1.0,0.0,0
1986-11-07,-0.0056183224786481,0.0,0.0,0
1986-11-10,-0.0395478193466163,0.0,0.0,0
1986-11-11,0.0058825575381886,1.0,0.0,0
1986-11-12,0.0,0.0,0.0,0
1986-11-13,-0.0146198018362837,0.0,0.0,0
1986-11-14,0.0089017887970908,1.0,0.0,0
1986-11-17,0.0058825575381886,1.0,0.0,0
1986-11-18,-0.0526316777654231,0.0,0.0,0
1986-11-19,0.0370372480674876,1.0,0.0,0
1986-11-20,0.0773801167616248,1.0,0.0,0
1986-11-21,0.0331500442935788,1.0,0.0,0
1986-11-24,0.0802138023667997,1.0,0.0,0
1986-11-25,0.0099010668153467,1.0,0.0,0
1986-11-26,-0.0098039967880905,0.0,0.0,0
