date,ticker,ret,ret_z,vol_z,range_pct
1999-03-10,QQQ,,,,
1999-03-11,QQQ,0.004895713770093124,,,
1999-03-12,QQQ,-0.024360589321735238,,,
1999-03-15,QQQ,0.028714150059081955,,,
1999-03-16,QQQ,0.00849514316107669,,,
1999-03-17,QQQ,-0.007220022322181108,,,
1999-03-18,QQQ,0.019393724306718152,,,
1999-03-19,QQQ,-0.025564933328702466,,,
1999-03-22,QQQ,-0.01220237811009095,,,
1999-03-23,QQQ,-0.03520687551593593,,,
1999-03-24,QQQ,0.0339311201044461,,,
1999-03-25,QQQ,0.03653230568015031,,,
1999-03-26,QQQ,-0.01075298171917971,,,
1999-03-29,QQQ,0.03623201187110814,,,
1999-03-30,QQQ,-0.0069931448188373935,,,
1999-03-31,QQQ,-0.014671119593397175,,,
1999-04-01,QQQ,0.020845942045717436,,,
1999-04-05,QQQ,0.03617201127599001,,,
1999-04-06,QQQ,0.001970819284016212,,,
1999-04-07,QQQ,-0.010395777634702008,,,
1999-04-08,QQQ,0.007949866470527756,,,
1999-04-09,QQQ,0.00619710848845112,,-1.0982525883843968,
1999-04-12,QQQ,-0.006718588486063881,,1.4907010918752286,
1999-04-13,QQQ,-0.013529090621186679,,1.1419830589749191,
1999-04-14,QQQ,-0.03428519542237962,,3.4530290579593426,
1999-04-15,QQQ,0.01360935755384185,,2.1613449400904514,
1999-04-16,QQQ,-0.029188797315914172,,1.8183800657144005,
1999-04-19,QQQ,-0.04690301489247806,,1.9197463166708224,
1999-04-20,QQQ,0.022712493608507245,,1.4560281689220453,
1999-04-21,QQQ,0.04935271516492823,,0.3219829202286601,
1999-04-22,QQQ,0.027042455474445504,,0.7442391367546463,
1999-04-23,QQQ,0.013165808161492265,,-0.7326411685604024,
1999-04-26,QQQ,0.023022682690263974,,-1.283011819070014,
1999-04-27,QQQ,-0.015325429492527687,,1.1390849256179139,
1999-04-28,QQQ,-0.03421201042012434,,-0.5220593674276022,
1999-04-29,QQQ,-0.00812991700380028,,1.364253346177057,
1999-04-30,QQQ,0.0064401205921928995,,0.7640768369958186,
1999-05-03,QQQ,-0.005235420764545751,,0.0028365825007323495,
1999-05-04,QQQ,-0.01578974123680721,,0.6960188473601187,
1999-05-05,QQQ,0.03030325677427581,,0.16475457884091144,
1999-05-06,QQQ,-0.03633196463334676,,0.5431674789855186,
1999-05-07,QQQ,0.014362098819155067,,0.6996512915510724,
1999-05-10,QQQ,0.010029657007217141,,-0.41874481287600246,
1999-05-11,QQQ,0.015771135514246915,,-1.0993381223906047,
1999-05-12,QQQ,0.020701477195923745,,-0.09704526402548926,
1999-05-13,QQQ,-0.018591482936220816,,-0.7777005827968309,
1999-05-14,QQQ,-0.018943834380723223,,-0.0982084477872041,
1999-05-17,QQQ,0.017993200805854537,,-0.6553975062911577,
1999-05-18,QQQ,-0.004454900647770876,,-0.7842391098621841,
1999-05-19,QQQ,0.013857006179496478,,-1.166266056069604,
1999-05-20,QQQ,-0.027477291343475763,,-1.952975210644473,
